cenario;tabela;hash;probe;M;N;seed;tempoIns(ns);tempoBus(ns);colisIns;colisBus;rehashCount;top1;top2;top3;gapMin;gapMax;gapMean;gapCount
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;2000001;1000000;4242;24987400;14177200;499196;499196;0;0;0;0;0;26;1.0000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;2000001;1000000;424242;21353400;12693200;496252;496252;0;0;0;0;0;25;1.0000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;16000015;10000000;42;697437500;372033000;26820224;8202258;3;0;0;0;0;26;0.6000;9999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;16000015;10000000;4242;461747800;375119000;8203512;8203512;0;0;0;0;0;23;0.6000;9999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;16000015;10000000;424242;458707200;376880300;8214324;8214324;0;0;0;0;0;24;0.6000;9999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1000000;100000;42;1308400;809800;5677;5677;0;0;0;0;0;123;8.9999;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1000000;100000;4242;1843800;994800;5474;5474;0;0;0;0;0;101;8.9999;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1000000;100000;424242;1426100;731100;5479;5479;0;0;0;0;0;118;9.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;2000001;1000000;42;41959500;19370300;1816944;499440;1;0;0;0;0;24;1.0000;999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;2000001;1000000;4242;26495400;17948200;499495;499495;0;0;0;0;0;28;1.0000;999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;2000001;1000000;424242;24476000;16545300;497651;497651;0;0;0;0;0;26;1.0000;999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;16000015;10000000;42;860298300;410748100;26918100;8351987;3;0;0;0;0;27;0.6000;9999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;16000015;10000000;4242;505987400;424369000;8341302;8341302;0;0;0;0;0;27;0.6000;9999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;16000015;10000000;424242;506253600;408989600;8340205;8340205;0;0;0;0;0;27;0.6000;9999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;1000000;100000;42;1349200;977800;5555;5555;0;0;0;0;0;141;8.9998;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;1000000;100000;4242;1388900;929700;5526;5526;0;0;0;0;0;137;8.9998;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;1000000;100000;424242;1447300;871500;5630;5630;0;0;0;0;0;122;8.9999;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;2000001;1000000;42;40294700;22913300;1842397;497652;1;0;0;0;0;23;1.0000;999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;2000001;1000000;4242;29434500;19188300;498434;498434;0;0;0;0;0;26;1.0000;999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;2000001;1000000;424242;24020800;16282500;500071;500071;0;0;0;0;0;25;1.0000;999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;16000015;10000000;42;795471400;455710300;26775766;8196441;3;0;0;0;0;24;0.6000;9999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;16000015;10000000;4242;536410600;460391000;8217248;8217248;0;0;0;0;0;24;0.6000;9999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;16000015;10000000;424242;539102000;462751900;8179604;8179604;0;0;0;0;0;25;0.6000;9999999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;1000000;100000;42;1514700;1206000;5459;5459;0;0;0;0;0;128;9.0000;99999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;1000000;100000;4242;1504000;1078000;5324;5324;0;0;0;0;0;127;9.0001;99999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;1000000;100000;424242;1595200;1051300;5461;5461;0;0;0;0;0;97;8.9999;99999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;2000001;1000000;42;53026100;30388600;989990;394619;1;0;0;0;0;19;1.0000;999999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;2000001;1000000;4242;36494100;23199500;392139;392139;0;0;0;0;0;20;1.0000;999999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;2000001;1000000;424242;28768900;27068600;391535;391535;0;0;0;0;0;22;1.0000;999999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;16000015;10000000;42;1326800300;655403100;43082129;6394260;3;0;0;0;0;18;0.6000;9999995
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;16000015;10000000;4242;760431900;695472900;6361838;6361838;0;0;0;0;0;20;0.6000;9999999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;16000015;10000000;424242;770548500;709857200;22368960;22368960;0;0;0;0;0;17;0.6000;9999998
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;1000000;100000;42;1562600;1260100;5471;5471;0;0;0;0;0;123;8.9999;99999
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;1000000;100000;4242;1900000;1348200;5267;5267;0;0;0;0;0;101;8.9999;99999
